Designator,Mid X,Mid Y,Rotation,Layer
R59,140.8811,-109.7661,90.0,top
R6,150.0886,-65.1585,180.0,top
R60,77.0636,-113.2586,270.0,top
R61,102.4636,-119.451,180.0,top
R62,126.2761,-119.451,180.0,top
R63,150.0886,-119.451,180.0,top
R64,173.9011,-119.451,180.0,top
R65,197.7136,-119.451,180.0,top
R66,221.5261,-119.451,180.0,top
R67,78.6511,-117.7036,90.0,top
R68,137.7061,-121.1961,270.0,top
R69,139.2936,-121.1961,270.0,top
R7,173.9011,-65.1585,180.0,top
R70,115.7986,-121.5136,270.0,top
R71,117.3861,-121.5136,270.0,top
R72,135.1661,-121.8311,0.0,top
R73,119.9261,-122.1486,180.0,top
R74,91.9861,-130.0861,270.0,top
R75,87.8586,-130.4036,180.0,top
R76,100.2411,-139.14475,180.0,top
R77,113.2586,-139.14475,180.0,top
R78,126.2761,-139.14475,180.0,top
R79,139.2936,-139.14475,180.0,top
R8,197.7136,-65.1585,180.0,top
R80,152.3111,-139.14475,180.0,top
R81,171.6786,-139.14475,180.0,top
R82,184.6961,-139.14475,180.0,top
R83,197.7136,-139.14475,180.0,top
R84,210.7311,-139.14475,180.0,top
R85,223.7486,-139.14475,180.0,top
R86,82.65,-143.6,90.0,top
R87,87.75,-146.2,0.0,top
R88,78.6511,-155.1686,90.0,top
R89,90.7161,-155.1686,90.0,top
R9,221.5261,-65.1585,180.0,top
SW1,78.6511,-84.3661,90.0,top
SW2,225.9711,-91.0336,90.0,top
SW3,225.9711,-102.4636,90.0,top
TP1,184.3786,-77.6986,0.0,top
